Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,6.600000,6.780000,6.320000,6.400000,6.400000,1886800
2022-06-14,6.440000,6.555000,5.955000,6.440000,6.440000,2369500
2022-06-15,6.580000,7.355000,6.580000,7.150000,7.150000,1712300
2022-06-16,6.870000,6.970000,6.500000,6.970000,6.970000,2585800
2022-06-17,7.000000,7.685000,6.990000,7.320000,7.320000,2183500
2022-06-21,7.480000,7.790000,7.430000,7.540000,7.540000,1642600
2022-06-22,7.410000,8.060000,7.350000,7.750000,7.750000,1054800
2022-06-23,7.830000,8.700000,7.803000,8.700000,8.700000,1678300
2022-06-24,8.850000,9.230000,8.560000,8.750000,8.750000,13848500
2022-06-27,8.750000,8.850000,8.210000,8.600000,8.600000,1748300
2022-06-28,8.640000,8.990000,8.120000,8.240000,8.240000,1368900
2022-06-29,8.120000,8.290000,7.820000,8.220000,8.220000,1037800
2022-06-30,7.990000,8.190000,7.770000,8.090000,8.090000,1221500
2022-07-01,8.070000,8.515000,7.960000,8.420000,8.420000,973800
2022-07-05,8.270000,9.130000,8.040000,9.100000,9.100000,1238100
2022-07-06,9.150000,9.820000,9.120000,9.570000,9.570000,1514600
2022-07-07,9.530000,10.750000,9.419000,10.730000,10.730000,2171400
2022-07-08,10.470000,10.890000,10.030000,10.400000,10.400000,1260500
2022-07-11,10.280000,10.320000,9.350000,9.365000,9.365000,1084900
2022-07-12,9.550000,9.780000,9.090000,9.770000,9.770000,999500
2022-07-13,9.410000,10.100000,9.255000,9.900000,9.900000,823200
2022-07-14,9.780000,9.880000,9.310000,9.570000,9.570000,760600
2022-07-15,9.510000,9.710000,9.000000,9.530000,9.530000,971200
2022-07-18,9.790000,9.960000,8.880000,8.950000,8.950000,1274900
2022-07-19,9.110000,9.290000,8.920000,9.200000,9.200000,1083400
2022-07-20,9.340000,9.990000,9.320000,9.610000,9.610000,1197700
2022-07-21,9.670000,9.940000,9.400000,9.560000,9.560000,1132200
2022-07-22,9.770000,9.770000,8.600000,8.690000,8.690000,1235500
2022-07-25,8.640000,8.775000,8.420000,8.740000,8.740000,896400
2022-07-26,8.670000,9.030000,8.390000,8.890000,8.890000,1177100
2022-07-27,9.120000,9.120000,8.780000,9.070000,9.070000,989800
2022-07-28,9.130000,9.415000,8.750000,9.300000,9.300000,1093800
2022-07-29,9.250000,9.330000,8.800000,9.160000,9.160000,1418600
2022-08-01,9.100000,9.490000,8.950000,9.160000,9.160000,1098100
2022-08-02,8.990000,9.785000,8.990000,9.520000,9.520000,1498700
2022-08-03,9.730000,10.080000,9.720000,9.890000,9.890000,1251800
2022-08-04,10.110000,12.120000,10.110000,11.360000,11.360000,2396100
2022-08-05,10.986000,11.670000,10.650000,11.450000,11.450000,1580700
2022-08-08,11.570000,11.970000,11.110000,11.690000,11.690000,1918900
2022-08-09,11.410000,11.610000,10.910000,11.210000,11.210000,1340500
2022-08-10,11.680000,12.790000,11.230000,12.620000,12.620000,1902000
2022-08-11,12.740000,13.210000,12.035000,12.120000,12.120000,1684200
2022-08-12,12.230000,12.600000,12.045000,12.320000,12.320000,966100
2022-08-15,12.260000,12.790000,12.210000,12.670000,12.670000,2021100
2022-08-16,12.580000,12.580000,11.680000,11.900000,11.900000,1016700
2022-08-17,11.720000,11.840000,11.390000,11.550000,11.550000,1239800
2022-08-18,11.620000,11.650000,10.900000,11.170000,11.170000,987400
2022-08-19,10.930000,11.120000,10.250000,10.530000,10.530000,1078800
2022-08-22,10.360000,10.650000,10.100000,10.390000,10.390000,1515100
2022-08-23,10.400000,10.790000,10.120000,10.750000,10.750000,810400
2022-08-24,10.860000,11.310000,10.610000,11.180000,11.180000,609500
2022-08-25,11.050000,11.240000,10.920000,11.200000,11.200000,842600
2022-08-26,11.130000,11.250000,10.365000,10.480000,10.480000,1080200
2022-08-29,10.240000,10.550000,9.605000,9.690000,9.690000,965100
2022-08-30,9.840000,9.880000,8.625000,8.650000,8.650000,1420900
2022-08-31,8.810000,9.040000,8.560000,8.920000,8.920000,994700
2022-09-01,8.940000,8.950000,8.460000,8.930000,8.930000,1072800
2022-09-02,9.230000,9.230000,8.490000,8.720000,8.720000,617700
2022-09-06,8.750000,8.760000,7.990000,8.380000,8.380000,1099900
2022-09-07,8.260000,8.870000,8.260000,8.860000,8.860000,807800
2022-09-08,8.700000,9.250000,8.610000,9.140000,9.140000,1006600
2022-09-09,9.270000,9.270000,8.890000,8.910000,8.910000,1179200
2022-09-12,8.980000,9.090000,8.740000,9.030000,9.030000,2153300
2022-09-13,8.560000,8.710000,8.160000,8.220000,8.220000,1479300
2022-09-14,8.220000,8.280000,7.800000,8.130000,8.130000,910300
2022-09-15,8.030000,8.585000,8.030000,8.440000,8.440000,1133500
2022-09-16,8.200000,8.205000,7.460000,7.630000,7.630000,2125000
2022-09-19,7.560000,7.790000,7.330000,7.790000,7.790000,1051100
2022-09-20,7.630000,7.810000,7.450000,7.570000,7.570000,604500
2022-09-21,7.640000,7.770000,7.340000,7.400000,7.400000,863500
2022-09-22,7.320000,7.340000,6.740000,6.900000,6.900000,975000
2022-09-23,6.810000,6.910000,6.410000,6.500000,6.500000,1407800
2022-09-26,6.390000,6.760000,6.375000,6.520000,6.520000,966700
2022-09-27,6.680000,6.830000,6.480000,6.610000,6.610000,868600
2022-09-28,6.720000,7.245000,6.710000,7.120000,7.120000,977800
2022-09-29,6.970000,7.020000,6.740000,6.850000,6.850000,653900
2022-09-30,6.920000,7.430000,6.840000,7.120000,7.120000,975700
2022-10-03,7.220000,7.415000,6.790000,7.250000,7.250000,880900
2022-10-04,7.500000,8.350000,7.500000,8.190000,8.190000,1268600
2022-10-05,7.970000,8.010000,7.345000,7.800000,7.800000,941800
2022-10-06,7.800000,8.170000,7.720000,7.850000,7.850000,536600
2022-10-07,7.610000,7.610000,7.035000,7.150000,7.150000,822700
2022-10-10,7.130000,7.130000,6.830000,6.890000,6.890000,509200
2022-10-11,6.860000,6.980000,6.454000,6.620000,6.620000,1041000
2022-10-12,6.610000,6.790000,6.485000,6.670000,6.670000,772200
2022-10-13,6.370000,6.668000,6.130000,6.460000,6.460000,872100
2022-10-14,6.580000,6.660000,6.170000,6.260000,6.260000,835400
2022-10-17,6.500000,6.925000,6.420000,6.830000,6.830000,1121100
2022-10-18,7.160000,7.370000,6.725000,6.860000,6.860000,964900
2022-10-19,6.680000,6.700000,6.050000,6.300000,6.300000,1314500
2022-10-20,6.310000,6.766000,6.270000,6.340000,6.340000,1187500
2022-10-21,6.370000,6.535000,6.150000,6.470000,6.470000,862600
2022-10-24,6.480000,6.640000,6.180000,6.600000,6.600000,980500
2022-10-25,6.760000,7.280000,6.630000,7.120000,7.120000,1272200
2022-10-26,7.030000,7.750000,6.820000,7.470000,7.470000,1187900
2022-10-27,7.550000,7.570000,7.300000,7.380000,7.380000,721900
2022-10-28,7.360000,7.655000,7.270000,7.610000,7.610000,692200
2022-10-31,7.540000,7.950000,7.490000,7.780000,7.780000,1164500
2022-11-01,7.960000,8.540000,7.890000,8.410000,8.410000,1122700
2022-11-02,8.380000,8.440000,7.820000,7.850000,7.850000,1418800
2022-11-03,7.630000,8.040000,7.530000,7.780000,7.780000,1194300
2022-11-04,8.290000,8.960000,7.730000,8.890000,8.890000,1747900
2022-11-07,9.070000,9.155000,7.165000,7.580000,7.580000,1673400
2022-11-08,7.730000,8.170000,7.570000,7.780000,7.780000,1042700
2022-11-09,7.640000,7.720000,7.155000,7.250000,7.250000,931500
2022-11-10,7.950000,9.140000,7.790000,9.060000,9.060000,1271800
2022-11-11,9.080000,9.870000,8.930000,9.340000,9.340000,1769200
2022-11-14,9.220000,9.290000,8.440000,8.480000,8.480000,1275700
2022-11-15,8.840000,9.360000,8.697000,9.090000,9.090000,1125900
2022-11-16,8.870000,9.100000,8.730000,8.960000,8.960000,975200
2022-11-17,8.620000,8.630000,8.010000,8.220000,8.220000,1015200
2022-11-18,8.570000,8.570000,7.910000,8.160000,8.160000,796100
2022-11-21,8.040000,8.310000,7.950000,8.260000,8.260000,618700
2022-11-22,8.350000,8.350000,7.910000,8.170000,8.170000,671400
2022-11-23,8.190000,8.400000,8.059000,8.300000,8.300000,938800
2022-11-25,8.210000,8.230000,8.010000,8.120000,8.120000,371700
2022-11-28,8.120000,8.365000,8.105000,8.140000,8.140000,859500
2022-11-29,8.130000,8.320000,7.730000,7.860000,7.860000,635600
2022-11-30,7.940000,8.820000,7.700000,8.780000,8.780000,1612500
2022-12-01,8.830000,9.040000,8.520000,8.650000,8.650000,1005800
2022-12-02,8.400000,9.010000,8.230000,8.960000,8.960000,588700
2022-12-05,8.910000,8.950000,8.180000,8.250000,8.250000,733500
2022-12-06,8.270000,8.270000,7.770000,7.830000,7.830000,566000
2022-12-07,7.760000,7.995000,7.680000,7.950000,7.950000,542900
2022-12-08,8.050000,8.870000,7.700000,8.840000,8.840000,1473800
2022-12-09,8.830000,9.020000,8.240000,8.250000,8.250000,697300
2022-12-12,8.270000,8.640000,8.070000,8.620000,8.620000,690900
2022-12-13,9.150000,9.410000,8.530000,8.740000,8.740000,976200
2022-12-14,8.730000,8.780000,8.160000,8.310000,8.310000,784400
2022-12-15,8.060000,8.320000,8.000000,8.130000,8.130000,738300
2022-12-16,7.890000,8.120000,7.755000,8.010000,8.010000,1464300
2022-12-19,8.000000,8.000000,7.130000,7.260000,7.260000,859400
2022-12-20,7.170000,7.460000,7.080000,7.090000,7.090000,1735200
2022-12-21,7.820000,8.400000,7.680000,8.050000,8.050000,2346900
2022-12-22,7.980000,8.140000,7.730000,8.060000,8.060000,920300
2022-12-23,8.050000,8.050000,7.490000,7.500000,7.500000,609500
2022-12-27,7.470000,7.520000,6.860000,7.150000,7.150000,1229800
2022-12-28,6.860000,7.020000,6.720000,6.910000,6.910000,1128400
2022-12-29,7.060000,7.660000,6.940000,7.570000,7.570000,844700
2022-12-30,7.430000,7.660000,7.240000,7.640000,7.640000,659800
2023-01-03,7.890000,8.240000,7.500000,7.800000,7.800000,1057900
2023-01-04,7.980000,8.155000,7.610000,8.010000,8.010000,1159600
2023-01-05,8.200000,8.270000,7.960000,8.080000,8.080000,820500
2023-01-06,8.140000,8.360000,7.510000,8.350000,8.350000,1421300
2023-01-09,8.500000,8.710000,8.380000,8.660000,8.660000,1143200
2023-01-10,8.580000,9.110000,8.580000,8.930000,8.930000,572000
2023-01-11,9.000000,9.445000,8.790000,9.390000,9.390000,1176500
2023-01-12,9.500000,9.740000,9.145000,9.660000,9.660000,1403200
2023-01-13,9.440000,9.960000,9.390000,9.940000,9.940000,868900
2023-01-17,9.920000,10.255000,9.730000,10.110000,10.110000,930900
2023-01-18,10.260000,10.790000,9.800000,9.920000,9.920000,937100
2023-01-19,9.710000,9.810000,8.920000,9.030000,9.030000,1157300
2023-01-20,9.190000,9.225000,8.790000,9.200000,9.200000,1252000
2023-01-23,9.200000,9.520000,9.040000,9.400000,9.400000,1027500
2023-01-24,9.290000,9.445000,8.915000,8.990000,8.990000,682700
2023-01-25,8.760000,9.390000,8.550000,9.380000,9.380000,662200
2023-01-26,9.610000,9.770000,8.890000,9.210000,9.210000,842300
2023-01-27,9.080000,9.490000,9.020000,9.360000,9.360000,715500
2023-01-30,9.090000,9.140000,8.690000,9.010000,9.010000,1097700
2023-01-31,9.030000,9.380000,9.030000,9.270000,9.270000,916500
2023-02-01,9.320000,9.440000,8.860000,9.380000,9.380000,1000800
2023-02-02,9.690000,10.090000,9.650000,9.850000,9.850000,1229100
2023-02-03,9.490000,9.930000,9.402000,9.850000,9.850000,992200
2023-02-06,9.700000,9.800000,9.290000,9.480000,9.480000,694200
2023-02-07,9.420000,9.680000,9.160000,9.630000,9.630000,798900
